name,publisher,release_date,avg_playtime,price,positive_reviews,negative_reviews
Heaven Island Life,Chubby Pixel,04/21/2016,183,$0.99,372,317
Battlefleet Gothic: Armada,Focus Entertainment,04/21/2016,323,$14.99,3.82K,1.76K
Endorlight,Old Games,04/26/2016,337,$0.99,845,535
Ori and the Blind Forest: Definitive Edition,Xbox Game Studios,04/27/2016,501,$19.99,57.83K,2.71K
Bigscreen Beta,"Bigscreen, Inc.",04/28/2016,65,$0,2.52K,422
Puzzle Galaxies,Sometimes You,04/29/2016,217,$0.99,95,63
Battleborn,2K,05/03/2016,210,$0,6.04K,3.69K
Worm.is: The Game,Freakinware Studios,05/04/2016,56,$0,3.67K,880
Kathy Rain,Raw Fury,05/05/2016,263,$9.99,3.36K,278
Stellaris,Paradox Interactive,05/09/2016,1209,$39.99,140.23K,18.14K
DOOM,Bethesda Softworks,05/12/2016,774,$19.99,175.97K,8.58K
FINAL FANTASY X/X-2 HD Remaster,Square Enix,05/12/2016,386,$29.99,15.28K,1.58K
Who's Your Daddy?!,Evil Tortilla Games,05/13/2016,82,$9.99,22.26K,5.59K
Homefront: The Revolution,Deep Silver,05/17/2016,257,$19.99,9.35K,6.33K
Duskers,Misfits Attic,05/18/2016,222,$19.99,2.22K,245
One Troll Army,tinyBuild,05/19/2016,127,$0,1.2K,200
Total War: WARHAMMER,SEGA,05/24/2016,1470,$59.99,39.85K,11.45K
Dead Island Definitive Edition,Deep Silver,05/31/2016,266,$19.99,18.04K,3.97K
The Way of Life Free Edition,CyberCoconut,05/31/2016,12,$0,4.7K,1.64K
BlackShot: Mercenary Warfare FPS,Papaya Play,05/31/2016,63,$0,1.59K,1.35K
Turmoil,Gamious,06/02/2016,336,$12.99,11.58K,872
Dungeon Journey,Nova Dimension,06/03/2016,254,$1.99,203,59
Head Shot,Indie Game Group,06/03/2016,232,$1.99,864,865
Hearts of Iron IV,Paradox Interactive,06/06/2016,4316,$39.99,240.62K,21.26K
SteamWorld Heist,Image & Form Games,06/07/2016,243,$14.99,4.84K,307
Insanity Clicker,PlayFlock,06/07/2016,157,$0,1.91K,910
JDM Tuner Racing,Conglomerate 5,06/07/2016,0,$0.99,198,209
WildStar,NCSOFT,06/09/2016,49,$0,3.76K,1.29K
Sherlock Holmes: The Devil's Daughter,Frogwares,06/10/2016,368,$29.99,10.32K,2.65K
Dead by Daylight,Behaviour Interactive Inc.,06/14/2016,1148,$19.99,565.1K,138.13K
Freebie,Back To Basics Gaming,06/16/2016,247,$1.99,1.02K,370
Transmissions: Element 120,Self Published,06/16/2016,37,$0,9.01K,533
VA-11 Hall-A: Cyberpunk Bartender Action,Ysbryd Games,06/21/2016,343,$14.99,32.23K,821
Invasion: Brain Craving,New Reality Games,06/22/2016,254,$1.99,142,180
LEGO STAR WARS: The Force Awakens,Warner Bros. Interactive Entertainment,06/27/2016,220,$19.99,5.26K,914
Zero Escape: Zero Time Dilemma,"Spike Chunsoft Co., Ltd.",06/29/2016,894,$19.99,3.11K,570
Furi,The Game Bakers,07/05/2016,146,$19.99,10.16K,1.01K
RWBY: Grimm Eclipse,Rooster Teeth Games,07/05/2016,639,$19.99,9.34K,2.19K
Hero Zero,,07/05/2016,112,$0,2.88K,615
Riders of Icarus,VALOFE,07/06/2016,818,$0,6.98K,3.59K
INSIDE,Playdead,07/07/2016,211,$19.99,52.52K,1.78K
ESEA,ESEA,07/08/2016,6,$0,3.1K,1.15K
Poly Bridge,Dry Cactus,07/12/2016,311,$9.99,15.07K,1.4K
Polarity,Bluebutton Games,07/15/2016,130,$12.99,3.74K,955
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,D3PUBLISHER,07/18/2016,789,$19.99,8.68K,450
Human Fall Flat,Curve Games,07/22/2016,357,$19.99,184.25K,10.28K
Starbound,Chucklefish,07/22/2016,1745,$14.99,150.28K,12K
Kingdom Rush Frontiers - Tower Defense,Ironhide Game Studio,07/25/2016,682,$9.99,7.43K,249
ORBITAL,Garage Games,07/27/2016,216,$2.99,220,79
$1 Ride,Back To Basics Gaming,07/28/2016,241,$1.99,441,473
A Detective's Novel,Amaterasu Software,07/28/2016,278,$1.99,596,282
Tricky Towers,WeirdBeard,08/02/2016,431,$14.99,12.86K,1.35K
ABZU,505 Games,08/02/2016,87,$19.99,22.36K,1.71K
This Is the Police,THQ Nordic,08/02/2016,367,$14.99,8.29K,1.71K
Batman - The Telltale Series,Telltale,08/02/2016,586,$14.99,11.85K,2.06K
Overcooked,Team17 Digital Ltd,08/03/2016,258,$16.99,12.54K,1.3K
Star Fields,Back To Basics Gaming,08/06/2016,231,$1.99,88,76
Kingdom: New Lands,Raw Fury,08/09/2016,344,$14.99,9.18K,1.44K
Dungeon Fighter Online,Neople,08/09/2016,189,$0,3.21K,1.98K
Reigns,Devolver Digital,08/11/2016,246,$2.99,6.68K,930
No Man's Sky,Hello Games,08/12/2016,1214,$59.99,228.12K,58.81K
Shop Heroes,"Cloudcade, Inc.",08/15/2016,440,$0,2.46K,1.2K
Deus Ex: Mankind Divided,Eidos Interactive Corp.,08/23/2016,772,$29.99,29.42K,9.6K
Worms W.M.D,Team17,08/23/2016,366,$29.99,8.83K,1.56K
AdVenture Communist,Hyper Hippo Games,08/23/2016,36,$0,2.98K,1.55K
Duelyst,BANDAI NAMCO Entertainment America,08/23/2016,354,$0,3.94K,839
The Pirate: Caribbean Hunt,Home Net Games,08/24/2016,52,$0,3.43K,758
Master of Orion,Wargaming Labs,08/25/2016,330,$24.99,5.66K,1.76K
Warriors of Vilvatikta,Back To Basics Gaming,08/26/2016,219,$1.99,84,80
Onward,Downpour Interactive,08/29/2016,1105,$24.99,6.12K,2.77K
Titan Quest Anniversary Edition,THQ Nordic,08/31/2016,320,$19.99,29.59K,2.85K
Lost Castle / 失落城堡,Neon Doctrine,08/31/2016,377,$9.99,19.81K,2.77K
Curious Expedition,Maschinen-Mensch,09/02/2016,265,$14.99,3.63K,353
Redout: Enhanced Edition,34BigThings srl,09/02/2016,170,$19.99,3.79K,649
How to Survive 2,505 Games,09/08/2016,269,$14.99,7.45K,3.28K
STEINS;GATE,"Spike Chunsoft Co., Ltd.",09/08/2016,104,$29.99,15.59K,396
TOXIKK,Schwiezer System GmbH,09/10/2016,140,$0,4.31K,1.28K
Monsti,Old Games,09/12/2016,333,$0.99,400,247
DEAD RISING,Capcom,09/12/2016,312,$19.99,4.64K,626
Mad Games Tycoon,Eggcode,09/13/2016,963,$14.99,3.98K,400
BioShock Remastered,2K,09/15/2016,139,$19.99,40.64K,9.91K
BioShock 2 Remastered,2K,09/15/2016,157,$19.99,15.59K,7.03K
NBA 2K17,2K,09/20/2016,4074,$0,4.72K,4.11K
Turbo Pug 3D,Back To Basics Gaming,09/20/2016,241,$1.99,250,115
Cossacks 3,GSC Game World,09/20/2016,508,$19.99,10.24K,2.35K
The Uncertain: Last Quiet Day,New Game order,09/22/2016,98,$9.99,4.28K,1.29K
"Warhammer 40,000: Eternal Crusade",Behaviour Interactive Inc.,09/23/2016,29,$0,6.27K,6.32K
Turbo Pug DX,Back To Basics Gaming,09/26/2016,226,$1.99,1.38K,391
Clustertruck,tinyBuild,09/27/2016,129,$14.99,13.76K,990
Quantum Break,Xbox Game Studios,09/29/2016,290,$39.99,21.57K,3.67K
Wuppo: Definitive Edition,SOEDESCO,09/29/2016,213,$14.99,5.01K,284
Streamline,Proletariat Inc.,09/30/2016,168,$0,1.44K,584
Zombie Defense,Home Net Games,09/30/2016,76,$0,1.71K,333
Aragami,Lince Works,10/04/2016,279,$19.99,10.88K,1.2K
Atlas Reactor,Trion Worlds,10/04/2016,57,$0,4.4K,888
Unforgiving Trials: The Space Crusade,Amaterasu Software,10/07/2016,242,$0.99,191,118
Five Nights at Freddy's: Sister Location,Scott Cawthon,10/07/2016,487,$7.99,9.85K,982
KUBOOM,nobodyshot,10/07/2016,16,$0,1.93K,1.42K
Duke Nukem 3D: 20th Anniversary World Tour,Gearbox Publishing,10/11/2016,497,$19.99,3.85K,728
Shadow Warrior 2,Devolver Digital,10/13/2016,280,$29.99,22.03K,3.2K
Blameless,Blameless Games,10/13/2016,34,$0,3.95K,750
High Octane Drift,Cruderocks,10/14/2016,15,$0,3.29K,2.67K
Manual Samuel - Anniversary Edition,Curve Games,10/14/2016,258,$9.99,2.49K,509
Heroes & Generals,TLM Partners,10/18/2016,63,$0,96.55K,47.07K
Crush Crush,Sad Panda Studios,10/18/2016,164,$0,22.23K,2.48K
Sid Meier’s Civilization VI,2K,10/20/2016,1588,$59.99,251.41K,41.67K
My Summer Car,Amistech Games,10/24/2016,526,$14.99,58.1K,3.5K
Farming Simulator 17,GIANTS Software,10/24/2016,2027,$14.99,21.91K,1.55K
Meadow,Might and Delight,10/26/2016,229,$6.99,5.2K,609
The Elder Scrolls V: Skyrim Special Edition,Bethesda Softworks,10/27/2016,1691,$39.99,255.9K,24.18K
DRAGON BALL XENOVERSE 2,BANDAI NAMCO Entertainment,10/27/2016,1108,$19.99,40.76K,4.56K
Shadowverse CCG,"Cygames, Inc.",10/27/2016,528,$0,10.59K,3.64K
Orwell: Keeping an Eye On You,Osmotic Studios,10/27/2016,257,$9.99,13.03K,1.3K
Football Manager 2017,SEGA,11/03/2016,12877,$0,6.56K,4.49K
Digimon Masters Online,MOVE ON USA CO.,11/03/2016,63,$0,5.49K,2.63K
Call of Duty: Infinite Warfare,Activision,11/03/2016,585,$59.99,15.07K,11.15K
City Car Driving,"Forward Global Group, Ltd.",11/03/2016,765,$24.99,18.84K,4.17K
Intralism,KHB-Soft,11/04/2016,302,$2.99,4.32K,653
Driver Booster 4 for Steam,IObit,11/07/2016,107,$0,621,198
Transport Fever,Good Shepherd Entertainment,11/08/2016,776,$29.99,8.78K,1.76K
World of Tanks Blitz,Wargaming Group Limited,11/09/2016,189,$0,108.08K,26.9K
Beholder,Alawar,11/09/2016,182,$9.99,22.66K,2.08K
Motorsport Manager,SEGA,11/09/2016,575,$19.99,11.77K,1.05K
Tyranny,Paradox Interactive,11/10/2016,998,$29.99,10.39K,1.57K
Dishonored 2,Bethesda Softworks,11/11/2016,882,$29.99,50.49K,6.31K
Elems,Fifth Dimension Company,11/11/2016,302,$0.99,19,13
Google Earth VR,Google,11/16/2016,43,$0,3.46K,191
Planet Coaster,Frontier Developments,11/17/2016,390,$44.99,56.68K,5.41K
ICEY,XD,11/17/2016,82,$10.99,22.66K,2.38K
Glass Masquerade,Onyx Lute,11/18/2016,260,$4.99,5.92K,186
Infestation: The New Z,OP Productions LLC,11/22/2016,44,$0,17.98K,15.58K
Midnight Carnival,Back To Basics Gaming,11/22/2016,231,$1.99,130,210
Watch_Dogs 2,Ubisoft,11/28/2016,791,$59.99,56.95K,11.81K
Darksiders Warmastered Edition,THQ Nordic,11/29/2016,210,$19.99,12.12K,1.76K
Tabletopia,Tabletopia,11/30/2016,33,$0,974,562
Steep,Ubisoft,12/02/2016,295,$29.99,21.28K,4.73K
Shadow Tactics: Blades of the Shogun,Daedalic Entertainment,12/06/2016,215,$39.99,33.64K,1.34K
Arizona Sunshine,Vertigo Games,12/06/2016,229,$29.99,6.92K,1.77K
Prominence Poker,Jagex Ltd,12/12/2016,309,$0,6.07K,1.1K
"Planes, Bullets and Vodka",NukGames,12/13/2016,310,$4.99,1.43K,250
Sally Face - Episode One,Portable Moose,12/14/2016,170,$2.99,16.47K,475
Heaven Forest - VR MMO,Chubby Pixel,12/14/2016,372,$0.99,314,145
GUILTY GEAR Xrd REV 2,Arc System Works,12/14/2016,334,$29.99,8.88K,562
Pharaoh + Cleopatra,Activision,12/15/2016,19,$9.99,2.02K,201
Street Warriors Online,Crazy Rocks Studios,12/16/2016,23,$1.99,957,692
Resident Evil 7 Teaser: Beginning Hour,"CAPCOM Co., Ltd.",12/18/2016,23,$0,3.9K,501
Happy Room,Mana Potion Studios,12/19/2016,389,$4.99,2.44K,266
The Walking Dead: A New Frontier,Skybound Games,12/20/2016,504,$14.99,12.08K,2.69K
Art of War: Red Tides,Game Science,12/22/2016,47,$0,5.32K,1.43K
UNO,Ubisoft Entertainment,01/03/2017,255,$9.99,34.48K,12.57K
Detention,RedCandleGames,01/12/2017,201,$11.99,11.34K,2.61K
The Pasture,Sometimes You,01/17/2017,249,$0.99,90,107
Resident Evil 7 Biohazard,"CAPCOM Co., Ltd.",01/23/2017,568,$19.99,75.4K,3.85K
Tales of Berseria,BANDAI NAMCO Entertainment,01/26/2017,396,$49.99,15.56K,1.36K
Magic Lantern,Interactive Moolt,01/29/2017,360,$0,24,3
TERA - Action MMORPG,Gameforge 4D GmbH,01/31/2017,181,$0,6.02K,1.69K
BIGFOOT,CyberLight Game Studio,01/31/2017,311,$19.99,14.53K,3.18K
Line of Sight,BlackSpot Entertainment,01/31/2017,69,$0,5.41K,3.7K
VRChat,VRChat Inc.,02/01/2017,204,$0,153.56K,54.4K
We Were Here,Total Mayhem Games,02/03/2017,105,$0,23.01K,2.34K
MOBIUS FINAL FANTASY,Square Enix,02/05/2017,53,$0,3.18K,1.18K
Evolvation,HyperReuts,02/06/2017,320,$1.99,625,293
Soda Dungeon,Armor Games Studios,02/06/2017,904,$0,5.58K,335
Minimalism,PixelMouse,02/08/2017,369,$0.99,1.28K,465
FOR HONOR,Ubisoft,02/13/2017,3252,$14.99,94.88K,41.96K
Sniper Elite 4,Rebellion,02/13/2017,314,$59.99,47.86K,4.79K
theHunter: Call of the Wild,Expansive Worlds,02/16/2017,342,$19.99,129.8K,17.45K
Night in the Woods,Finji,02/21/2017,698,$19.99,15.31K,988
Shift Happens,Daedalic Entertainment,02/22/2017,142,$15.99,2.55K,599
Hollow Knight,Team Cherry,02/24/2017,1061,$14.99,314.98K,9.12K
BRAIN / OUT,Desertkun,02/24/2017,130,$0,12.63K,2.77K
911 Operator,Games Operators,02/24/2017,193,$14.99,13.84K,1.71K
Pavlov VR,Vankrupt Games,02/27/2017,392,$24.99,34.63K,2.94K
Tanki Online,APL Publishing Ltd.,03/02/2017,730,$0,3.62K,2.19K
Deceit,World Makers,03/03/2017,69,$0,72.13K,18.85K
Tom Clancy's Ghost Recon Wildlands,Ubisoft,03/06/2017,1018,$49.99,64.86K,16.73K
ULTIMATE MARVEL VS. CAPCOM 3,"CAPCOM U.S.A., INC.",03/06/2017,72,$24.99,4.9K,452
LEGO Worlds,Warner Bros. Interactive Entertainment,03/07/2017,293,$29.99,11.67K,3.25K
Faeria,Versus Evil,03/08/2017,133,$19.99,5.84K,1.12K
Heaven Forest NIGHTS,Chubby Pixel,03/14/2017,250,$0.99,207,104
Styx: Shards of Darkness,Nacon,03/14/2017,319,$19.99,4.18K,876
NieR:Automata,Square Enix,03/17/2017,725,$39.99,105.42K,16.92K
McOsu,McKay,03/20/2017,8,$0,5.16K,630
Day of Infamy,New World Interactive,03/23/2017,787,$14.99,18.15K,3.81K
Battle Brothers,Overhype Studios,03/24/2017,14739,$29.99,18.43K,2.46K
Rain World,Akupara Games,03/28/2017,63,$24.99,22.29K,1.55K
Rivals of Aether,Aether Studios,03/28/2017,233,$29.99,29.65K,1.38K
Snake Pass,Secret Mode,03/28/2017,169,$19.99,2.33K,608
Fallout Shelter,Bethesda Softworks,03/29/2017,104,$0,55.8K,7.17K
Last Man Standing,Free Reign Entertainment,03/29/2017,76,$0,10.97K,6.96K
X-Plane 11,Laminar Research,03/30/2017,5094,$29.99,15.59K,1.23K
Soccer Online: Ball 3D,Unusualsoft,03/31/2017,38,$0.99,7.94K,1.5K
LEGO City Undercover,TT Games,04/04/2017,793,$19.99,6.92K,786
Bulletstorm: Full Clip Edition,Gearbox Publishing,04/07/2017,284,$39.99,6.45K,833
Bayonetta,SEGA,04/11/2017,174,$19.99,23.29K,1.89K
Crawl,Powerhoof,04/11/2017,135,$14.99,6.27K,352
VITATIO 2,Phat Phrog Studios,04/11/2017,211,$0.99,360,145
Skyforge,Music Guru LLC,04/13/2017,128,$0,2.51K,1.7K
ONRAID,Pragmatix Ltd,04/18/2017,26,$0,1.35K,444
Orcs Must Die! Unchained,Robot Entertainment,04/19/2017,67,$0,4.18K,1.92K
Forts,EarthWork Games,04/19/2017,318,$14.99,16.84K,1.52K
Alien Swarm: Reactive Drop,Reactive Drop Team,04/20/2017,54,$0,19.54K,1.04K
Halo Wars: Definitive Edition,Xbox Game Studios,04/20/2017,474,$19.99,6.71K,711
Outlast 2,Red Barrels,04/24/2017,150,$29.99,42.74K,4.11K
Sniper Ghost Warrior 3,CI Games,04/24/2017,577,$19.99,11.37K,5.84K
What Remains of Edith Finch,Annapurna Interactive,04/24/2017,188,$19.99,34.79K,1.58K
Catan Universe,USM,04/25/2017,114,$0,6.64K,6.46K
Little Nightmares,BANDAI NAMCO Entertainment,04/27/2017,100,$19.99,90.79K,4.98K
"Warhammer 40,000: Dawn of War III",SEGA,04/27/2017,675,$39.99,10.03K,11.12K
Bendy and the Ink Machine,Joey Drew Studios,04/27/2017,62,$19.99,20.97K,2.85K
Prey,Bethesda Softworks,05/04/2017,1067,$29.99,41.17K,4.21K
Metin2,Gameforge 4D GmbH,05/08/2017,120,$0,10.31K,4.41K
Creativerse,Playful Corp.,05/08/2017,165,$24.99,24.23K,6.83K
Cat or Bread?,Casioqu,05/08/2017,353,$1.99,615,49
Learn to Fly 3,Light Bringer Games inc.,05/12/2017,90,$0,8.02K,500
The Surge,Focus Entertainment,05/15/2017,130,$14.99,7.15K,2.34K
Ravenfield,SteelRaven7,05/18/2017,2010,$17.99,62.14K,1.99K
Portal Knights,505 Games,05/18/2017,1691,$19.99,17.36K,3.49K
Cyberhunt,NukGames,05/19/2017,297,$4.99,1.4K,261
The Elder Scrolls Online,Bethesda Softworks,05/22/2017,1193,$19.99,115.11K,25.77K
Gene Shift Auto,Nik Nak Studios,05/23/2017,321,$0,1.89K,408
Black Desert,Pearl Abyss,05/24/2017,278,$9.99,56.44K,18.72K
Caveblazers,Yogscast Games,05/24/2017,751,$9.99,3.5K,534
Friday the 13th: The Game,Gun Media,05/25/2017,297,$4.99,60.63K,15.53K
SUPERHOT VR,SUPERHOT Team,05/25/2017,119,$24.99,6.83K,2.42K
EVERSPACE,ROCKFISH Games,05/25/2017,117,$19.99,8.26K,2.19K
NEKOPARA Vol. 3,Sekai Project,05/25/2017,258,$9.99,11.41K,339
Vanquish,SEGA,05/25/2017,365,$19.99,5.74K,703
Rising Storm 2: Vietnam,Tripwire Interactive,05/30/2017,630,$24.99,46.22K,7.24K
The Elder Scrolls: Legends,Bethesda Softworks,05/31/2017,173,$0,7.8K,2.71K
TEKKEN 7,BANDAI NAMCO Entertainment,06/01/2017,530,$39.99,72.66K,15.11K
Ultimate Epic Battle Simulator,Brilliant Game Studios,06/01/2017,84,$14.99,9.01K,2.81K
Cosmic Pioneer,Amaterasu Software,06/07/2017,255,$0.99,35,33
Pixel Worlds: MMO Sandbox,Kukouri Mobile Entertainment,06/08/2017,64,$0,4.33K,1.5K
DiRT 4,Codemasters,06/08/2017,246,$0,12.7K,3.15K
Sniper Fury,Gameloft,06/13/2017,12,$0,1.26K,1.34K
Realm Grinder,Kongregate,06/15/2017,181,$0,5.68K,830
Secret in Story,Naivus Luo,06/19/2017,263,$0.99,77,35
Pixel Painter,Dio Alias Games,06/19/2017,312,$0.99,731,263
Dungeon Defenders II,Chromatic Games,06/20/2017,181,$0,16.31K,4.71K
Argo,Bohemia Interactive,06/22/2017,25,$0,5.67K,5.39K
Unturned,Smartly Dressed Games,07/07/2017,643,$0,485.19K,44.98K
Loading Screen Simulator,CakeEaterGames,07/13/2017,26,$0,7.42K,1.12K
Serial Cleaner,Curve Games,07/14/2017,399,$14.99,2.81K,446
Ultimate General: Civil War,Game-Labs,07/14/2017,1270,$29.99,6.55K,783
OLDTV,Creability,07/15/2017,30,$0,5.1K,277
Hand Simulator,HFM Games,07/18/2017,123,$1.99,30.31K,5.74K
Gigantic,Perfect World Entertainment,07/19/2017,35,$0,5.76K,1.75K
Kingdoms and Castles,"Lion Shield, LLC",07/20/2017,508,$14.99,24.78K,1.85K
Dream Daddy: A Dad Dating Simulator,Game Grumps,07/20/2017,458,$14.99,5.23K,471
Dark and Light,Snail Games USA,07/20/2017,2819,$17.99,6.08K,5.34K
Just Cause 3: Multiplayer Mod,nanos GbR,07/20/2017,36,$0,2.02K,564
Desolate Wastes: Vendor Chronicles,New Reality Games,07/21/2017,259,$1.99,101,77
Dreamfall Chapters,Red Thread Games,07/21/2017,809,$24.99,3.57K,741
Pyre,Supergiant Games,07/25/2017,776,$19.99,7.69K,801
Crossout,Gaijin Distribution KFT,07/26/2017,100,$0,44.15K,14.01K
Business Tour - Board Game with Online Multiplayer,8Floor,07/27/2017,296,$0,43.2K,27.41K
Call of Duty: Modern Warfare Remastered (2017),Activision,07/27/2017,122,$39.99,6.39K,3.22K
Car Mechanic Simulator 2018,PlayWay S.A.,07/28/2017,2156,$19.99,43.52K,4.27K
Secret World Legends,Funcom,07/31/2017,247,$0,5.89K,2.89K
The Long Dark,Hinterland Studio Inc.,08/01/2017,275,$19.99,92.42K,9.07K
Slime Rancher,Monomi Park,08/01/2017,609,$19.99,112.29K,2.38K
VTOL VR,"Boundless Dynamics, LLC",08/03/2017,257,$29.99,13.71K,268
Dark Elf,Paradise Project,08/03/2017,276,$0,4.44K,516
Hellblade: Senua's Sacrifice,Ninja Theory,08/07/2017,395,$29.99,53.8K,5.35K
>observer_,Bloober Team ,08/15/2017,334,$0,4.55K,1.21K
Darkwood,Acid Wizard Studio,08/17/2017,206,$14.99,15.93K,882
The Escapists 2,Team17,08/21/2017,355,$19.99,25.58K,2.64K
Robocraft,Freejam,08/24/2017,178,$0,86.43K,32.21K
Comedy Night,Lighthouse Games Studio,08/24/2017,211,$4.99,6.54K,2.16K
Yet Another Zombie Defense HD,Awesome Games Studio,08/25/2017,47,$3.99,2.32K,414
ARK: Survival Evolved,Studio Wildcard,08/27/2017,456,$14.99,558.13K,113.95K
Fishing Planet,Fishing Planet LLC,08/28/2017,32,$0,43.66K,6.87K
TurnSignal,Otter-Co,08/28/2017,2456,$0,595,61
ARK: Survival Of The Fittest,Studio Wildcard,08/29/2017,15,$14.99,7.56K,3.87K
Sonic Mania,SEGA,08/29/2017,65,$19.99,21.86K,1.51K
Absolver,Devolver Digital,08/29/2017,192,$29.99,10.07K,3.95K
Life is Strange: Before the Storm,Square Enix,08/31/2017,618,$16.99,33.94K,2.45K
CryptoMoneya,azimuth team,09/03/2017,453,$0.99,132,63
MONOPOLY PLUS,Ubisoft,09/07/2017,241,$14.99,6.3K,8.36K
古剑奇谭二(GuJian2),北京网元圣唐娱乐科技有限公司,09/07/2017,59,$15.99,2.01K,579
古剑奇谭(GuJian),北京网元圣唐娱乐科技有限公司,09/07/2017,291,$11.99,3.9K,964
Resurgence,Lightning Man Media,09/12/2017,275,$1.99,13,8
Divinity: Original Sin 2 - Definitive Edition,Larian Studios,09/14/2017,1579,$44.99,165.97K,6.93K
Dishonored: Death of the Outsider,Bethesda Softworks,09/14/2017,498,$29.99,9.57K,1.35K
NosTale - Anime MMORPG,Gameforge 4D GmbH,09/18/2017,5859,$0,2.16K,872
Tricolour Lovestory,SakuraGame,09/20/2017,306,$1.99,22.59K,4.69K
Project CARS 2,BANDAI NAMCO Entertainment,09/21/2017,458,$0,14.6K,3.44K
Heat Signature,Suspicious Developments,09/21/2017,5142,$14.99,6.4K,354
DEATH TRAIN - Warning: Unsafe VR Experience,Nomad Assembly,09/21/2017,184,$19.99,18,15
The LEGO NINJAGO Movie Video Game,Warner Bros. Interactive Entertainment,09/22/2017,125,$19.99,5.3K,874
Figment,Bedtime Digital Games,09/22/2017,21,$19.99,3.7K,543
Spacelords,Mercury Steam Entertainment s.l.,09/22/2017,26,$0,1.69K,1.51K
Danganronpa V3: Killing Harmony,"Spike Chunsoft Co., Ltd.",09/25/2017,2880,$39.99,14.86K,2.66K
Pinball FX3,Zen Studios,09/26/2017,68,$0,4.11K,568
RUINER,Devolver Digital,09/26/2017,111,$19.99,9.78K,1.1K
Total War: WARHAMMER II,SEGA,09/28/2017,5292,$59.99,112.45K,9.21K
Stick Fight: The Game,Landfall,09/28/2017,291,$4.99,107.33K,7.18K
Cuphead,Studio MDHR Entertainment Inc.,09/29/2017,842,$19.99,145.06K,5.35K
Soundpad,Leppsoft,09/30/2017,3937,$4.99,60.77K,2.42K
Road Redemption,Tripwire Presents,10/04/2017,340,$19.99,9.27K,2.02K
The Culling,Xaviant Games,10/05/2017,234,$0,10.12K,7.56K
A Hat in Time,Gears for Breakfast,10/05/2017,343,$29.99,47.48K,992
Doki Doki Literature Club!,Team Salvato,10/06/2017,107,$0,187.25K,6.72K
Middle-earth: Shadow of War,WB Games,10/09/2017,737,$49.99,81.83K,11.01K
The Evil Within 2,Bethesda Softworks,10/12/2017,996,$39.99,24.05K,1.98K
Dungeons 3,Kalypso Media,10/13/2017,362,$29.99,16.78K,990
Gold Rush: The Game,Code Horizon,10/13/2017,1369,$19.99,9.64K,3.74K
South Park: The Fractured But Whole,Ubisoft,10/16/2017,953,$49.99,19.95K,3.85K
SAS: Zombie Assault 4,Ninja Kiwi,10/16/2017,82,$0,6.91K,1.11K
Overgrowth,Wolfire Games,10/16/2017,258,$19.99,6.14K,1.6K
Brawlhalla,Ubisoft,10/17/2017,299,$0,289.48K,59.6K
ELEX,THQ Nordic,10/17/2017,332,$29.99,13.56K,4.67K
Bomber Crew,Curve Games,10/19/2017,256,$19.99,11.45K,1.59K
Hide and Shriek,Funcom,10/19/2017,23,$0,4.1K,837
Call of War: World War 2,Bytro Labs GmbH,10/21/2017,45,$0,3.39K,1.4K
Assassin's Creed Origins,Ubisoft,10/26/2017,1143,$59.99,83.41K,13.02K
Wolfenstein II: The New Colossus,Bethesda Softworks,10/26/2017,543,$39.99,31.07K,7.67K
MudRunner,Focus Entertainment,10/30/2017,458,$19.99,27.88K,2.92K
Codename CURE,Raptor Byte,10/31/2017,48,$0,13.76K,2.51K
Call of Duty: WWII,Activision,11/02/2017,377,$59.99,26.61K,12.55K
Warspear Online,Titulum Enterprises Limited,11/02/2017,41,$0,1.83K,589
Nioh: Complete Edition,"KOEI TECMO GAMES CO., LTD.",11/07/2017,623,$49.99,26.05K,6.42K
Sonic Forces,SEGA,11/07/2017,154,$39.99,4.17K,2.7K
Battlerite,Stunlock Studios,11/08/2017,129,$0,49.93K,9.19K
Superflight,GrizzlyGames,11/08/2017,54,$2.99,10.3K,374
LEGO Marvel Super Heroes 2,Warner Bros. Interactive,11/14/2017,252,$19.99,6.87K,1K
World of Warships,Wargaming Group Limited,11/15/2017,231,$0,102.62K,30.55K
CS2D,Unreal Software,11/15/2017,21,$0,8.4K,922
PRO EVOLUTION SOCCER 2018 LITE,Konami Digital Entertainment  ,11/15/2017,439,$0,774,762
Yu-Gi-Oh! Duel Links,KONAMI,11/16/2017,1268,$0,34.54K,6.67K
Tannenberg,Blackmill Games,11/16/2017,271,$19.99,7.79K,1.23K
CarX Drift Racing Online,"CarX Technologies, LLC",11/17/2017,606,$14.99,68.34K,3.21K
Armored Warfare,Wishlist Games,11/17/2017,108,$0,2.76K,1.34K
Reflex,Game for people,11/23/2017,61,$0.99,670,115
Injustice 2,WB Games,11/30/2017,363,$49.99,16.76K,2.65K
Freddy Fazbear's Pizzeria Simulator,Scott Cawthon,12/04/2017,50,$0,25.27K,1.56K
Nine Parchments,Frozenbyte,12/05/2017,943,$19.99,3.11K,909
Getting Over It with Bennett Foddy,Bennett Foddy,12/06/2017,89,$7.99,54.63K,11.61K
汉匈决战/Han Xiongnu Wars,Shangshixuan,12/07/2017,7459,$6.99,2.34K,1.59K
SpellForce 3 Reforced,THQ Nordic,12/07/2017,1861,$39.99,5.42K,1.7K
